episode;personality;hitsInflicted;dragonsKilled;hasKey;timeToFindKey;agentCollisions;distanceTraveled;avgSpeed;avgDistanceFromAgents;avgDistanceFromDragons;idleTime;timeInVicinityOfAgents
51;NonConscientious;3;1;0;-1.000;7;43.039;2.147;2.602;4.162;1.720;20.980
51;Neurotic;0;0;0;-1.000;15;28.337;0.587;2.060;7.247;2.500;36.861
52;Extrovert;3;0;0;-1.000;3;19.637;0.132;3.510;4.246;2.940;3.640
52;Intro_Iso;0;0;1;11.299;3;22.455;2.621;3.747;6.796;0.720;4.500
52;NonConscientious;3;2;0;-1.000;0;26.733;1.205;3.254;4.957;0.480;2.080
52;Neurotic;0;0;0;-1.000;0;8.700;1.087;4.149;5.882;1.220;1.400
53;Extrovert;0;0;0;-1.000;9;40.036;0.002;2.782;5.486;4.520;17.400
53;Intro_Iso;2;1;1;1.940;7;51.537;2.489;2.470;7.639;1.220;18.960
53;NonConscientious;4;1;0;-1.000;8;41.767;0.023;2.462;4.930;2.100;19.980
53;Neurotic;0;0;0;-1.000;8;27.625;0.060;3.234;8.050;4.400;11.480
54;Extrovert;0;0;0;-1.000;17;32.635;0.483;2.610;3.293;6.020;18.920
54;Intro_Iso;4;0;1;19.920;5;40.324;1.740;3.398;5.638;1.320;3.760
54;NonConscientious;2;2;0;-1.000;13;46.392;0.455;2.454;5.303;1.820;13.860
54;Neurotic;0;0;0;-1.000;9;24.475;0.294;3.294;8.482;2.320;10.920
55;Extrovert;0;0;0;-1.000;9;33.701;0.373;3.140;4.449;7.020;13.220
55;Intro_Iso;5;1;0;-1.000;5;30.661;0.376;3.816;5.252;3.220;4.260
55;NonConscientious;1;1;0;-1.000;4;47.135;1.182;3.230;5.736;1.020;8.720
55;Neurotic;0;0;0;-1.000;8;24.460;0.174;3.343;8.127;3.320;14.820
56;Extrovert;1;0;0;-1.000;3;9.240;0.959;3.159;7.570;1.840;6.140
56;Intro_Iso;1;0;0;-1.000;0;12.143;0.062;5.949;6.906;0.660;0.000
56;NonConscientious;3;1;0;-1.000;2;16.417;2.836;3.198;8.065;0.300;4.120
56;Neurotic;0;0;0;-1.000;1;9.078;0.082;3.639;7.644;1.360;2.860
57;Extrovert;0;0;0;-1.000;14;42.129;1.740;2.990;7.138;7.700;23.480
57;Intro_Iso;1;1;0;-1.000;2;46.665;3.000;4.430;10.485;2.320;3.920
57;NonConscientious;2;1;0;-1.000;12;46.529;1.689;2.703;4.726;1.220;17.900
57;Neurotic;3;0;0;-1.000;14;29.483;0.906;3.185;3.089;3.840;21.920
58;Extrovert;0;0;0;-1.000;8;31.091;1.100;2.736;6.270;3.300;11.240
58;Intro_Iso;3;1;1;11.784;0;33.840;3.000;3.313;6.652;1.100;2.580
58;NonConscientious;3;1;0;-1.000;2;32.539;0.835;3.217;8.427;1.120;6.500
58;Neurotic;0;0;0;-1.000;6;24.071;0.027;2.941;6.009;1.840;7.420
59;Extrovert;0;0;0;-1.000;2;20.271;0.242;3.295;9.872;1.200;3.860
59;Intro_Iso;3;1;0;-1.000;0;16.109;1.021;3.905;5.634;0.220;1.280
59;NonConscientious;2;0;0;-1.000;1;19.092;0.308;3.877;6.468;0.520;1.440
59;Neurotic;0;0;0;-1.000;3;15.149;0.765;2.763;5.182;0.320;4.020
60;Extrovert;0;0;0;-1.000;12;38.775;1.352;3.222;5.783;4.360;21.960
60;Intro_Iso;1;1;1;14.838;6;28.349;3.000;4.199;6.725;0.820;8.440
